"Year","Month","Pl_inp_t_C_ha","OA_inp_t_C_ha","TEMP_C","RM_Temp","RAIN_mm","PEVAP_mm","SMD_mm","RM_Moist","PC","RM_PC","DPM_t_C_ha","RPM_t_C_ha","Bio_t_C_ha","Hum_t_C_ha","IOM_t_C_ha","SOC_t_C_ha","CO2_t_C_ha"
1944,4,0,0,10.05,1.10617534012599,67,81,-9.8,1,1,0.6,0.037213658867018,4.51327903113512,0.693038198084994,32.2661139799334,3.0041,40.5137448680205,7.60597558757298
1944,5,0,0,11.28,1.28776314389859,103.7,108.5,0,1,1,0.6,0.0195464619530019,4.42693512867337,0.681972216406453,32.2454482609214,3.0041,40.3780020679542,7.74171838763932
1944,6,0,0,13.54,1.64893405978265,48.7,124.9,-44.9444,0.2,1,0.6,0.0165750887383515,4.40509003256286,0.678955047828456,32.2399394002256,3.0041,40.3446595693552,7.77506088623829
1944,7,0,0,16.63,2.18930169227639,61,138.7,-44.9444,0.2,1,0.6,0.0133160586020323,4.37625262372018,0.674916451242704,32.232518792026,3.0041,40.3011039255909,7.81861653000263
1944,8,1.3615,0,17.35,2.32128188270068,64.4,115.8,-44.9444,0.2,1,0.6,0.814065760324957,4.90387474682448,0.670601159493342,32.2245381233234,3.0041,41.6171797899662,7.86404066562733
1944,9,0,0,12.42,1.46580229174435,54.4,61.7,-36.8194,0.460113551010012,0,1,0.464058939109313,4.82188422559269,0.696379999024079,32.2472647175538,3.0041,41.2336878812799,8.24753257431365
1944,10,0,0,9.24,0.993077175852897,91.5,31,0,1,0,1,0.20284603741237,4.70364547219387,0.707237099691224,32.2501339549123,3.0041,40.8679625642098,8.61325789138371
1944,11,0,0,6.02,0.600676630960305,91.8,11.3,0,1,1,0.6,0.150221209749532,4.66145527886185,0.706405714802988,32.2460870473339,3.0041,40.7682692507483,8.71295120484523
1944,12,0,0,2.83,0.312310912517746,34.3,2.4,0,1,1,0.6,0.128503158416778,4.6396689991252,0.705359975478712,32.2432928750112,3.0041,40.7209250080319,8.76029544756159
1945,1,0,0,-0.27,0.131907415276752,54.3,5,0,1,1,0.6,0.120301341657213,4.63049797388272,0.704812132528996,32.241993447006,3.0041,40.7017048950749,8.77951556051863
1945,2,0,0,7.06,0.716855320467101,45.9,19,0,1,1,0.6,0.0840634705478535,4.58097375716346,0.701107308517532,32.2338829289456,3.0041,40.6041274651744,8.8770929904191
1945,3,0,0,7.78,0.803332482932797,23.3,46.4,-11.5,1,1,0.6,0.0562556158713398,4.52610433367955,0.695696777427755,32.2231793817325,3.0041,40.5053361087112,8.97588434688233
1945,4,0.064,0,9.77,1.06647535133603,24.3,76.8,-44.8,0.204622818063489,1,0.6,0.0882109340038323,4.53754241425587,0.694029768280925,32.2200515085527,3.0041,40.5439346250933,9.00128583050021
1945,5,0.064,0,12.65,1.50277420905731,56.6,113.3,-44.9444,0.2,1,0.6,0.113673286365167,4.54336126080901,0.692198900576735,32.2162606006345,3.0041,40.5695940483854,9.03962640720814
1945,6,0.064,0,14.46,1.804841293237,62.2,123.4,-44.9444,0.2,1,0.6,0.13267244579511,4.54505710994423,0.690435232740964,32.2121852669403,3.0041,40.5844500554207,9.08877040017287
1945,7,0.064,0,16.79,2.21846014825941,64.2,135.3,-44.9444,0.2,1,0.6,0.14404625569653,4.54113797057458,0.688640384250694,32.2075700625237,3.0041,40.5854946730455,9.15172578254798
1945,8,0.064,0,15.59,2.00235147605179,45.3,111.3,-44.9444,0.2,1,0.6,0.155677862311891,4.54017038481136,0.687269856457746,32.2036787834867,3.0041,40.5908968870677,9.21032356852578
1945,9,0.3199,0,14.38,1.79110146774391,61.2,76.7,-41.2694,0.317651359995298,1,0.6,0.305927138063258,4.63269514425752,0.685514959005829,32.1983081820598,3.0041,40.8265454233864,9.2945750322071
1945,10,0,0,11.6,1.3368348067216,89.9,31,0,1,1,0.6,0.156793485317679,4.54072313965425,0.687897350318071,32.1928194747772,3.0041,40.5823334500672,9.53878700552632
1945,11,0,0,6.92,0.700607069798201,33.7,11.8,0,1,1,0.6,0.110456969015005,4.4932540643012,0.685634062543034,32.1860719394426,3.0041,40.4795170353018,9.64160342029171
1945,12,0,0,4.41,0.442058840345635,88.6,5.1,0,1,1,0.6,0.0885525892428241,4.4635583871664,0.683424130995782,32.1809089179626,3.0041,40.4205440253676,9.70057643022588
1946,1,0,0,2.79,0.309362602997989,45.2,8.5,0,1,0,1,0.0684288442361602,4.42917008821852,0.680314206840404,32.1742050776445,3.0041,40.3562182169396,9.7649022386539
1946,2,0,0,5.84,0.581645004547456,58.6,20.4,0,1,0,1,0.0421439131446898,4.36523097178805,0.673448370340538,32.1601145652186,3.0041,40.2450378204919,9.87608263510159
1946,3,0,0,4.61,0.46032622293939,40.8,43.5,0,1,0,1,0.0287168793015204,4.31528316943675,0.667298971219563,32.1479959435795,3.0041,40.1633949635373,9.95772549205616
1946,4,0,0,9.53,1.03295153294205,34.8,70.6,-18.15,1,0,1,0.0121422624889786,4.20527276646019,0.65273448008203,32.1188639883167,3.0041,39.9931134973479,10.1280069582456
1946,5,0,0,10.09,1.11189783871606,59.1,102.8,-36.15,0.481543706215686,1,0.6,0.00929037048162455,4.17163375729045,0.64793788412736,32.1094605885614,3.0041,39.9424226004609,10.1786978551327
1946,6,0,0,13.18,1.58923582568143,96.4,118.4,-28.55,0.724849920083513,1,0.6,0.00522262266009195,4.1001697917805,0.637695690053412,32.0888417801832,3.0041,39.8360298846772,10.2850905709163
1946,7,0,0,16.54,2.1729445554989,40.7,129.5,-44.9444,0.2,1,0.6,0.00420260783406918,4.07352839665941,0.633780243663884,32.0809623309353,3.0041,39.7965735790926,10.3245468765009
1946,8,0,0,14.88,1.87751782709988,108.5,106.5,-16.3194,1,1,0.6,0.00164369430244601,3.96040694711385,0.617504119956335,32.046377504634,3.0041,39.6300322660066,10.4910881895869
1946,9,1.1555,0,14.02,1.72969513048192,75.8,67.5,0,1,1,0.6,0.682626611772693,4.33253962168323,0.602811855434099,32.0139657919822,3.0041,40.6360438808722,10.6405765747214
1946,10,0,0,9.3,1.00126953949977,60,32.7,0,1,0,1,0.296354608414201,4.22543472624769,0.629519041331279,32.0298543908482,3.0041,40.1852627668413,11.0913576887522
1946,11,0,0,7.91,0.819458158616149,135.7,13.1,0,1,0,1,0.149706234898303,4.13975122452378,0.632732884220425,32.0224792933574,3.0041,39.9487696369999,11.3278508185936
1946,12,0,0,1.99,0.253869625351682,59.6,0.8,0,1,0,1,0.121160597630455,4.11356049800334,0.631811630916113,32.0181506115425,3.0041,39.8887833380924,11.3878371175012
